Asset_id,Address,Carpet_area,Construction_type,Estimated_market_value,Year_built,Holder_id,LoanId
1111,"3009 Danielle Center Suite 308
North Jenniferland, ID 76511",40.0,Old,385949,18,7,LP001226
1112,"748 Castillo Divide Suite 510
Lake Kristybury, MH 32946",42.0,New,184066,2,48,LP001287
1113,"001 Morgan Views Apt. 731
New Kimberlychester, MT 37668",45.0,New,217377,5,14,LP001210
1114,"9520 George Summit Suite 971
Guerreroburgh, AZ 66844",46.0,New,169897,4,3,LP001015
1115,"061 Brown Mountains Apt. 800
South Christinechester, CO 90689",55.0,Old,109943,11,18,LP001242
1116,"3922 Karen Mountain
Katherineport, DC 40003",55.0,New,292367,3,7,LP001108
1117,"0135 Foster Prairie Suite 021
Brittanyside, AK 29112",60.0,New,369417,4,39,LP001055
1118,"32563 Lacey Shoal
Jamesfort, NE 24868",62.0,Old,101699,13,16,LP001163
1119,"4809 Spears Walks
Cunninghamchester, TX 74179",64.0,New,389887,2,42,LP001153
1120,"83168 Arnold Forge
Youngberg, IA 97019",65.0,New,75642,8,47,LP001031
1121,"USNV Caldwell
FPO AE 27939",65.0,Old,212392,14,22,LP001231
1122,"45598 Christopher Passage
East Joannaland, FM 39512",65.0,New,390273,5,6,LP001312
1123,"94552 Brandon Field
Orrhaven, NC 19954",65.0,Old,438419,14,39,LP001176
1124,"23332 Amber Terrace
Shelbyside, MA 85270",65.0,Old,162020,15,7,LP001094
1125,"01564 Jeremy Road
Vaughnside, FM 93776",65.0,Old,495857,14,38,LP001242
1126,"630 Donna Corner Suite 932
Lake Robert, AK 77440",65.0,Old,133986,12,35,LP001108
1127,"284 Burch Manor
Kevinbury, UT 57161",67.0,New,107756,2,31,LP001096
1128,"8691 Zamora Locks Apt. 105
South Caleb, DC 82635",68.0,Old,263533,13,41,LP001099
1129,"18786 Brown Well Suite 770
Williamsborough, NY 19633",70.0,Old,164160,14,47,LP001268
1130,"127 Victor Causeway Apt. 899
Davidville, CT 18729",70.0,New,317891,1,14,LP001220
1131,"807 David Brook Apt. 212
West Alyssa, PW 40731",70.0,Old,410420,18,47,LP001067
1132,"97225 Jennifer Prairie Apt. 772
Williamside, GU 46081",70.0,Old,52771,15,3,LP001298
1133,"73758 William Plains Apt. 756
Port Angela, HI 90946",70.0,Old,472568,16,7,LP001067
1134,"55480 Huang Stream
Claybury, MT 53758",70.0,Old,101893,11,31,LP001270
1135,"295 Pamela Port Apt. 786
Kathrynside, WV 19630",70.0,New,407567,10,36,LP001121
1136,"0096 Matthew Springs
North Nathanview, MT 41960",73.0,Old,266015,12,7,LP001185
1137,"3514 Moody Ways Apt. 592
Ryanland, IN 03828",75.0,Old,289124,20,14,LP001232
1138,"3737 Horton Run
Davidstad, MI 16684",75.0,Old,79426,14,3,LP001022
1139,"300 Sean Crossing
West Gregory, IN 74062",75.0,New,97341,3,10,LP001312
1140,"7160 Howe Islands
West Kevin, VT 58443",75.0,New,96660,8,17,LP001054
1141,"6695 Olson Flat Apt. 198
West Connieborough, KY 44936",75.0,Old,394416,20,35,LP001187
1142,"198 Baldwin Alley Suite 153
Port Lindseyport, IN 82950",80.0,Old,79251,17,45,LP001176
1143,"573 Matthew Valleys Apt. 703
West Brenda, TN 22751",80.0,New,403847,7,30,LP001237
1144,"3352 Johnson Track Apt. 498
Staceyfort, AK 76235",80.0,Old,299328,18,20,LP001298
1145,"8739 Crawford Villages
East Beckyburgh, FM 17594",80.0,Old,224027,18,28,LP001105
1146,"36129 Daniels Gateway Suite 721
Medinaton, DC 21537",80.0,Old,248709,18,42,LP001153
1147,"696 Barker Spurs
East Tannerport, FL 70496",80.0,New,125109,5,16,LP001094
1148,"322 Austin Island Suite 372
Millerberg, WY 43411",80.0,Old,295590,19,27,LP001270
1149,"5766 Teresa Ports
Martinezside, ND 91968",82.0,New,209576,2,23,LP001287
1150,"07244 Jennifer Branch Suite 737
Leslieton, AZ 59679",83.0,New,204241,2,34,LP001115
1151,"9644 Kenneth Terrace Apt. 157
Kaitlynland, NJ 45793",84.0,Old,55990,15,26,LP001054
1152,"11841 Gregory Roads Suite 460
Gillburgh, UT 09524",85.0,New,56627,8,16,LP001210
1153,"676 Howell Road Suite 490
East Amberview, MT 76101",85.0,Old,290656,12,14,LP001022
1154,"782 Christine Spur
Jacobshire, AZ 33859",86.0,New,149871,2,32,LP001203
1155,"287 Kramer Burg
Millerbury, NE 21755",90.0,Old,240705,14,5,LP001059
1156,"Unit 7296 Box 0767
DPO AP 85217",90.0,New,214155,1,23,LP001230
1157,"06065 Vincent Pines
Johnburgh, WA 11007",90.0,New,240480,3,20,LP001270
1158,"885 Brock Trail
Williamston, UT 62571",90.0,New,323596,2,28,LP001208
1159,"Unit 3885 Box 7739
DPO AP 55204",90.0,New,84344,3,16,LP001284
1160,"USS Perez
FPO AE 25873",95.0,New,191756,2,49,LP001031
