SSN,Customer_id,Account_Number,Income,Bank_name,Credit_History
74216507,58082,6668080649,58317,"Wells Fargo",Good
465939571,74341,2475885785,30788,Citigroup,Standard
813918749,77471,6239350355,106733,Chase,Good
853171579,78932,6663340180,4148862,"TD Bank",Good
226770587,94613,3433461290,88640,"Bank of America",Good
352674436,109075,4450371309,39642,"Bank of America",Good
212322085,114971,1631204329,29470,"Wells Fargo",Good
727409990,144402,6158965543,66567,"TD Bank",Good
925441671,166248,4674612116,57983,"Bank of America",Bad
204142702,174408,7788575072,20186,Citigroup,Good
405467599,176254,5316421672,32285,"TD Bank",Good
860361556,249650,1238315826,20574,"TD Bank",Standard
308388791,289060,8898570629,12600,"Wells Fargo",Good
898940497,293654,7482284503,43070,Chase,Standard
101113105,319355,1590610819,35548,Chase,Standard
496445947,336850,4738448888,92047,Citigroup,Standard
16732103,345273,5264379216,12910,Chase,Good
477905881,352841,8017327721,34848,"Wells Fargo",Good
330960638,358893,8296876239,71681,"TD Bank",Standard
87226137,365390,5461846948,72559,"Bank of America",Standard
616368188,389080,2607184695,92047,"Bank of America",Standard
198089791,415216,3321119986,20601508,"Wells Fargo",Good
558251337,492977,2005036558,10183,"TD Bank",Good
772589547,499661,1702237609,42172,"Bank of America",Standard
992492793,532909,7884101536,28572,"Wells Fargo",Good
908690212,538409,3385123187,131313,"Bank of America",Standard
331605414,554593,1463973416,143163,"Bank of America",Good
486071289,555849,8404188141,19515,"Bank of America",Bad
251770979,591642,9144957778,34290,"TD Bank",Bad
547237195,621200,8889194720,19300,"Wells Fargo",Bad
389894542,628418,8594077125,54392,Citigroup,Bad
755517133,632251,9174445104,18628,"TD Bank",Standard
755180308,638484,5110480157,97791,Chase,Good
423776457,640537,4070604401,114838,"TD Bank",Good
716354628,719439,7489280966,73928,"Wells Fargo",Standard
518012262,733572,3546730823,30788,"Bank of America",Standard
180887800,778711,6120588712,30690,Citigroup,Good
548039919,830875,3497327023,20788,Citigroup,Bad
794174490,847339,1405124237,33751,"Wells Fargo",Good
397455329,867938,6898823636,29470,Chase,Standard
507344117,871428,1293729161,31371,Chase,Good
62293192,872585,3442289093,15566,Citigroup,Good
878906321,915790,2633498674,31994,"Wells Fargo",Standard
147766929,930301,5062457584,25546,Chase,Bad
835416871,950610,7899232129,71681,Citigroup,Standard
605639678,972654,3995617909,10183,Citigroup,Bad
761113016,974101,4373764648,8702,"TD Bank",Bad
744117914,979749,7821448415,34081,Citigroup,Good
837455178,981115,6144703129,12987,Chase,Standard
224487837,987673,6247488842,19114,Chase,Good
